"# m28 arrayed data: Fig 7A, 7B, S7B, S7C"
Domain Name,Cage Number,Mouse Number,"Tumor Volume, L*W^2",Tumor Measurement Day
Unt,258,1,25.4456865,7
Unt,258,2,55.512864,7
Unt,258,3,49.407488,7
Unt,258,4,40.594214,7
41BB,259,1,25.19424,7
41BB,259,2,40.2959375,7
None,259,3,30.6965,7
41BB,259,4,52.819082,7
41BB,259,5,39.647713,7
BAFF-R,260,1,26.9452215,7
BAFF-R,260,2,21.719797,7
BAFF-R,260,3,49.9431735,7
BAFF-R,260,4,26.908,7
BAFF-R,260,5,22.816368,7
CD28,261,1,20.7023285,7
CD28,261,2,40.2649875,7
CD28,261,3,24.807132,7
CD28,261,4,27.3364875,7
Unt,261,5,39.8239,7
CD40,262,1,42.470425,7
CD40,262,2,62.570773,7
CD40,262,3,31.231475,7
CD40,262,4,33.4708855,7
CD40,262,5,35.5608925,7
TACI,263,1,57.81746,7
TACI,263,2,44.452408,7
None,263,3,50.6609775,7
TACI,263,4,25.49862,7
TACI,263,5,28.4886315,7
None,265,1,47.185983,7
None,265,2,56,7
None,265,3,66.90956,7
None,265,4,53.87041,7
None,266,1,72.353792,7
None,266,2,54.54845,7
None,266,3,80.0941125,7
Unt,258,1,101.05497,14
Unt,258,2,135.556136,14
Unt,258,3,183.8812365,14
Unt,258,4,131.035671,14
41BB,259,1,33.997563,14
41BB,259,2,60.4667105,14
None,259,3,122.610888,14
41BB,259,4,140.51925,14
41BB,259,5,31.2013625,14
BAFF-R,260,1,37.2368,14
BAFF-R,260,2,33.340906,14
BAFF-R,260,3,147.6199395,14
BAFF-R,260,4,37.878176,14
BAFF-R,260,5,37.838304,14
CD28,261,1,50.7022695,14
CD28,261,2,225.4008375,14
CD28,261,3,45.500462,14
CD28,261,4,210.4091445,14
Unt,261,5,138.901355,14
CD40,262,1,115.2575035,14
CD40,262,2,93.0896365,14
CD40,262,3,73.0514655,14
CD40,262,4,49.86352,14
CD40,262,5,95.389182,14
TACI,263,1,137.253688,14
TACI,263,2,104.613456,14
None,263,3,179.1692375,14
TACI,263,4,63.744256,14
TACI,263,5,140.625,14
None,265,1,87.949312,14
None,265,2,233.454432,14
None,265,3,170.4162185,14
None,265,4,79.780318,14
None,266,1,197.147776,14
None,266,2,67.061637,14
None,266,3,88.101351,14
Unt,258,1,95.1510125,21
Unt,258,2,191.1252105,21
Unt,258,3,192.66,21
Unt,258,4,61.216452,21
41BB,259,1,12.57728,21
41BB,259,2,11.9795445,21
None,259,3,175.984896,21
41BB,259,4,16.507924,21
41BB,259,5,0,21
BAFF-R,260,1,0,21
BAFF-R,260,2,6.504234,21
BAFF-R,260,3,0,21
BAFF-R,260,4,10.0823355,21
BAFF-R,260,5,0,21
CD28,261,1,6.65856,21
CD28,261,2,19.823616,21
CD28,261,3,7.6502375,21
CD28,261,4,17.8136675,21
Unt,261,5,88.715196,21
CD40,262,1,139.593222,21
CD40,262,2,62.325216,21
CD40,262,3,25.9332705,21
CD40,262,4,36.1563565,21
CD40,262,5,98.043904,21
TACI,263,1,0,21
TACI,263,2,7.7,21
None,263,3,124.3674,21
TACI,263,4,22.103,21
TACI,263,5,10.8517125,21
None,265,1,109.2025,21
None,265,2,193.14,21
None,265,3,203.035248,21
None,265,4,119.224281,21
None,266,1,141.276996,21
None,266,2,67.915,21
None,266,3,44.808282,21
Unt,258,1,179.011236,28
Unt,258,2,262.142082,28
Unt,258,3,195.776064,28
Unt,258,4,164.16207,28
41BB,259,1,0,28
41BB,259,2,19.5094125,28
None,259,3,208.661934,28
41BB,259,4,0,28
41BB,259,5,0,28
BAFF-R,260,1,0,28
BAFF-R,260,2,0,28
BAFF-R,260,3,0,28
BAFF-R,260,4,25.111503,28
BAFF-R,260,5,0,28
CD28,261,1,0,28
CD28,261,2,0,28
CD28,261,3,0,28
CD28,261,4,0,28
Unt,261,5,171.494912,28
CD40,262,1,171.569046,28
CD40,262,2,146.7860895,28
CD40,262,3,66.10175,28
CD40,262,4,44.635761,28
CD40,262,5,171.171525,28
TACI,263,1,0,28
TACI,263,2,12.617586,28
None,263,3,156.645,28
TACI,263,4,,28
TACI,263,5,8.0586,28
None,265,1,157.531968,28
None,265,2,215.6056595,28
None,265,3,324.32832,28
None,265,4,188.111196,28
None,266,1,222.264,28
None,266,2,74.1449,28
None,266,3,103.488,28
Unt,258,1,312.1074,35
Unt,258,2,438.349225,35
Unt,258,3,300.1070655,35
Unt,258,4,299.817714,35
41BB,259,1,0,35
41BB,259,2,28.675584,35
None,259,3,320.75184,35
41BB,259,4,0,35
41BB,259,5,0,35
BAFF-R,260,1,0,35
BAFF-R,260,2,0,35
BAFF-R,260,3,0,35
BAFF-R,260,4,16.896,35
BAFF-R,260,5,0,35
CD28,261,1,0,35
CD28,261,2,0,35
CD28,261,3,0,35
CD28,261,4,0,35
Unt,261,5,,35
CD40,262,1,310.0082625,35
CD40,262,2,277.0041445,35
CD40,262,3,122.919858,35
CD40,262,4,105.7241925,35
CD40,262,5,271.6427655,35
TACI,263,1,0,35
TACI,263,2,43.5625385,35
None,263,3,354.2721315,35
TACI,263,4,,35
TACI,263,5,17.252352,35
None,265,1,418.749984,35
None,265,2,409.474626,35
None,265,3,363.4176,35
None,265,4,234.630375,35
None,266,1,262.121972,35
None,266,2,111.701968,35
None,266,3,108.626336,35
Unt,258,1,395.08745,42
Unt,258,2,575.209404,42
Unt,258,3,370.433808,42
Unt,258,4,350.9925125,42
41BB,259,1,0,42
41BB,259,2,28.223136,42
None,259,3,434.3830155,42
41BB,259,4,0,42
41BB,259,5,0,42
BAFF-R,260,1,0,42
BAFF-R,260,2,0,42
BAFF-R,260,3,0,42
BAFF-R,260,4,39.216712,42
BAFF-R,260,5,0,42
CD28,261,1,0,42
CD28,261,2,0,42
CD28,261,3,0,42
CD28,261,4,0,42
Unt,261,5,,42
CD40,262,1,374.7584375,42
CD40,262,2,343.0015015,42
CD40,262,3,194.302568,42
CD40,262,4,90.887537,42
CD40,262,5,319.2708925,42
TACI,263,1,0,42
TACI,263,2,30.0368775,42
None,263,3,355.7307375,42
TACI,263,4,,42
TACI,263,5,0,42
None,265,1,406.48894,42
None,265,2,404.0354825,42
None,265,3,346.537708,42
None,265,4,337.637255,42
None,266,1,340.42464,42
None,266,2,190.5803705,42
None,266,3,149.19072,42
Unt,258,1,525.4814015,49
Unt,258,2,689.4893375,49
Unt,258,3,574.333832,49
Unt,258,4,415.06225,49
41BB,259,1,0,49
41BB,259,2,22.016,49
None,259,3,588.8375,49
41BB,259,4,0,49
41BB,259,5,0,49
BAFF-R,260,1,0,49
BAFF-R,260,2,0,49
BAFF-R,260,3,77.37588,49
BAFF-R,260,4,40.516596,49
BAFF-R,260,5,0,49
CD28,261,1,0,49
CD28,261,2,11.4256065,49
CD28,261,3,0,49
CD28,261,4,0,49
Unt,261,5,,49
CD40,262,1,471.3705,49
CD40,262,2,506.25,49
CD40,262,3,154.921624,49
CD40,262,4,118.11325,49
CD40,262,5,242.903664,49
TACI,263,1,0,49
TACI,263,2,38.6401765,49
None,263,3,519.7560625,49
TACI,263,4,,49
TACI,263,5,0,49
None,265,1,425.07773,49
None,265,2,646.2316575,49
None,265,3,454.798228,49
None,265,4,384.592,49
None,266,1,434.007,49
None,266,2,264.610832,49
None,266,3,371.25,49
Unt,258,1,0,0
Unt,258,2,0,0
Unt,258,3,0,0
Unt,258,4,0,0
41BB,259,1,0,0
41BB,259,2,0,0
None,259,3,0,0
41BB,259,4,0,0
41BB,259,5,0,0
BAFF-R,260,1,0,0
BAFF-R,260,2,0,0
BAFF-R,260,3,0,0
BAFF-R,260,4,0,0
BAFF-R,260,5,0,0
CD28,261,1,0,0
CD28,261,2,0,0
CD28,261,3,0,0
CD28,261,4,0,0
Unt,261,5,0,0
CD40,262,1,0,0
CD40,262,2,0,0
CD40,262,3,0,0
CD40,262,4,0,0
CD40,262,5,0,0
TACI,263,1,0,0
TACI,263,2,0,0
None,263,3,0,0
TACI,263,4,0,0
TACI,263,5,0,0
None,265,1,0,0
None,265,2,0,0
None,265,3,0,0
None,265,4,0,0
None,266,1,0,0
None,266,2,0,0
None,266,3,0,0
Unt,258,1,25.4456865,7
Unt,258,2,55.512864,7
Unt,258,3,49.407488,7
Unt,258,4,40.594214,7
None,259,3,30.6965,7
Unt,261,5,39.8239,7
None,263,3,50.6609775,7
zeta,264,1,24.6078,7
zeta,264,2,25.047,7
zeta,264,3,32.7135875,7
zeta,264,4,31.0008565,7
zeta,264,5,55.63215,7
None,265,1,47.185983,7
None,265,2,56,7
None,265,3,66.90956,7
None,265,4,53.87041,7
None,266,1,72.353792,7
None,266,2,54.54845,7
None,266,3,80.0941125,7
KLRG1,267,1,31.196419,7
KLRG1,267,2,26.6419125,7
KLRG1,267,3,25.602102,7
KLRG1,267,4,42.165956,7
KLRG1,267,5,39.43836,7
Unt,258,1,101.05497,14
Unt,258,2,135.556136,14
Unt,258,3,183.8812365,14
Unt,258,4,131.035671,14
None,259,3,122.610888,14
Unt,261,5,138.901355,14
None,263,3,179.1692375,14
zeta,264,1,68.48963,14
zeta,264,2,67.984758,14
zeta,264,3,104.18625,14
zeta,264,4,129.40496,14
zeta,264,5,103.430692,14
None,265,1,87.949312,14
None,265,2,233.454432,14
None,265,3,170.4162185,14
None,265,4,79.780318,14
None,266,1,197.147776,14
None,266,2,67.061637,14
None,266,3,88.101351,14
KLRG1,267,1,187.977825,14
KLRG1,267,2,91.725192,14
KLRG1,267,3,55.409103,14
KLRG1,267,4,111.777104,14
KLRG1,267,5,133.1716,14
Unt,258,1,95.1510125,21
Unt,258,2,191.1252105,21
Unt,258,3,192.66,21
Unt,258,4,61.216452,21
None,259,3,175.984896,21
Unt,261,5,88.715196,21
None,263,3,124.3674,21
zeta,264,1,26.84385,21
zeta,264,2,30.065175,21
zeta,264,3,80.188012,21
zeta,264,4,92.7529425,21
zeta,264,5,116.700507,21
None,265,1,109.2025,21
None,265,2,193.14,21
None,265,3,203.035248,21
None,265,4,119.224281,21
None,266,1,141.276996,21
None,266,2,67.915,21
None,266,3,44.808282,21
KLRG1,267,1,213.364116,21
KLRG1,267,2,84.0375,21
KLRG1,267,3,65.4905115,21
KLRG1,267,4,112.21955,21
KLRG1,267,5,139.15,21
Unt,258,1,179.011236,28
Unt,258,2,262.142082,28
Unt,258,3,195.776064,28
Unt,258,4,164.16207,28
None,259,3,208.661934,28
Unt,261,5,171.494912,28
None,263,3,156.645,28
zeta,264,1,36.1375,28
zeta,264,2,37.038464,28
zeta,264,3,99.42345,28
zeta,264,4,24.2847,28
zeta,264,5,124.272672,28
None,265,1,157.531968,28
None,265,2,215.6056595,28
None,265,3,324.32832,28
None,265,4,188.111196,28
None,266,1,222.264,28
None,266,2,74.1449,28
None,266,3,103.488,28
KLRG1,267,1,258.847104,28
KLRG1,267,2,143.071758,28
KLRG1,267,3,90.2003875,28
KLRG1,267,4,206.382816,28
KLRG1,267,5,110.856032,28
Unt,258,1,312.1074,35
Unt,258,2,438.349225,35
Unt,258,3,300.1070655,35
Unt,258,4,299.817714,35
None,259,3,320.75184,35
Unt,261,5,,35
None,263,3,354.2721315,35
zeta,264,1,68.479,35
zeta,264,2,82.25424,35
zeta,264,3,154.0081,35
zeta,264,4,45.0508,35
zeta,264,5,177.911704,35
None,265,1,418.749984,35
None,265,2,409.474626,35
None,265,3,363.4176,35
None,265,4,234.630375,35
None,266,1,262.121972,35
None,266,2,111.701968,35
None,266,3,108.626336,35
KLRG1,267,1,304.0708815,35
KLRG1,267,2,247.71483,35
KLRG1,267,3,173.004174,35
KLRG1,267,4,227.617856,35
KLRG1,267,5,307.647288,35
Unt,258,1,395.08745,42
Unt,258,2,575.209404,42
Unt,258,3,370.433808,42
Unt,258,4,350.9925125,42
None,259,3,434.3830155,42
Unt,261,5,,42
None,263,3,355.7307375,42
zeta,264,1,66.70125,42
zeta,264,2,47.817436,42
zeta,264,3,132.130222,42
zeta,264,4,132.943566,42
zeta,264,5,215.762954,42
None,265,1,406.48894,42
None,265,2,404.0354825,42
None,265,3,346.537708,42
None,265,4,337.637255,42
None,266,1,340.42464,42
None,266,2,190.5803705,42
None,266,3,149.19072,42
KLRG1,267,1,393.33349,42
KLRG1,267,2,274.7345,42
KLRG1,267,3,166.531104,42
KLRG1,267,4,242.55,42
KLRG1,267,5,322.53596,42
Unt,258,1,525.4814015,49
Unt,258,2,689.4893375,49
Unt,258,3,574.333832,49
Unt,258,4,415.06225,49
None,259,3,588.8375,49
Unt,261,5,,49
None,263,3,519.7560625,49
zeta,264,1,19.286308,49
zeta,264,2,39.0744,49
zeta,264,3,179.938495,49
zeta,264,4,129.60128,49
zeta,264,5,336.949724,49
None,265,1,425.07773,49
None,265,2,646.2316575,49
None,265,3,454.798228,49
None,265,4,384.592,49
None,266,1,434.007,49
None,266,2,264.610832,49
None,266,3,371.25,49
KLRG1,267,1,268.584,49
KLRG1,267,2,310.6939,49
KLRG1,267,3,242.406,49
KLRG1,267,4,254.7135,49
KLRG1,267,5,568.178,49
Unt,258,1,0,0
Unt,258,2,0,0
Unt,258,3,0,0
Unt,258,4,0,0
None,259,3,0,0
Unt,261,5,0,0
None,263,3,0,0
zeta,264,1,0,0
zeta,264,2,0,0
zeta,264,3,0,0
zeta,264,4,0,0
zeta,264,5,0,0
None,265,1,0,0
None,265,2,0,0
None,265,3,0,0
None,265,4,0,0
None,266,1,0,0
None,266,2,0,0
None,266,3,0,0
KLRG1,267,1,0,0
KLRG1,267,2,0,0
KLRG1,267,3,0,0
KLRG1,267,4,0,0
KLRG1,267,5,0,0
NT,240,1,35.316,6
NT,240,2,62.6661,6
NT,240,3,47.7201825,6
NT,240,4,34.656,6
Unt,241,1,37.6475,6
Unt,241,2,40.425,6
Unt,241,3,33.4425,6
Unt,241,4,41.715,6
41BB-ALPPL2,242,1,64.856,6
41BB-ALPPL2,242,2,53.4252,6
41BB-ALPPL2,242,3,59.7375,6
41BB-ALPPL2,242,4,34.3035,6
41BB-CD19,243,1,62.622,6
41BB-CD19,243,2,49.52,6
41BB-CD19,243,3,80.688,6
41BB-CD19,243,4,47.0936,6
41BB-CD19,243,5,44.712,6
CD28-KO,244,1,67.76,6
CD28-KO,244,2,51.3592875,6
CD28-KO,244,3,40,6
CD28-KO,244,4,45.8615,6
CD28-KO,244,5,38.88,6
CD28-Lenti,245,1,62.424,6
CD28-Lenti,245,2,48.125708,6
CD28-Lenti,245,3,54.21351,6
CD28-Lenti,245,4,37.6475,6
CD28-Lenti,245,5,46.656,6
NT,240,1,27.818127,14
NT,240,2,8,14
NT,240,3,23.0434,14
NT,240,4,0,14
Unt,241,1,86.619918,14
Unt,241,2,41.782536,14
Unt,241,3,30.528,14
Unt,241,4,45.0006435,14
41BB-ALPPL2,242,1,21.15,14
41BB-ALPPL2,242,2,23.7277805,14
41BB-ALPPL2,242,3,25.187998,14
41BB-ALPPL2,242,4,0,14
41BB-CD19,243,1,11.154,14
41BB-CD19,243,2,28.8,14
41BB-CD19,243,3,64.4904,14
41BB-CD19,243,4,29.403,14
41BB-CD19,243,5,45.28,14
CD28-KO,244,1,16.25,14
CD28-KO,244,2,9.386,14
CD28-KO,244,3,19.35,14
CD28-KO,244,4,0,14
CD28-KO,244,5,15.552,14
CD28-Lenti,245,1,86.122,14
CD28-Lenti,245,2,33.625,14
CD28-Lenti,245,3,68.4285,14
CD28-Lenti,245,4,17.496,14
CD28-Lenti,245,5,27.225,14
NT,240,1,68.921,21
NT,240,2,30.70242,21
NT,240,3,40.23,21
NT,240,4,66.453034,21
Unt,241,1,181.78182,21
Unt,241,2,91.129495,21
Unt,241,3,133.285232,21
Unt,241,4,45.125,21
41BB-ALPPL2,242,1,0,21
41BB-ALPPL2,242,2,0,21
41BB-ALPPL2,242,3,10.708464,21
41BB-ALPPL2,242,4,0,21
41BB-CD19,243,1,0,21
41BB-CD19,243,2,0,21
41BB-CD19,243,3,0,21
41BB-CD19,243,4,0,21
41BB-CD19,243,5,0,21
CD28-KO,244,1,0,21
CD28-KO,244,2,0,21
CD28-KO,244,3,0,21
CD28-KO,244,4,0,21
CD28-KO,244,5,0,21
CD28-Lenti,245,1,0,21
CD28-Lenti,245,2,0,21
CD28-Lenti,245,3,0,21
CD28-Lenti,245,4,0,21
CD28-Lenti,245,5,0,21
NT,240,1,68.1568,28
NT,240,2,40.5504,28
NT,240,3,77.571,28
NT,240,4,107.6,28
Unt,241,1,159.387984,28
Unt,241,2,112,28
Unt,241,3,146.168,28
Unt,241,4,396.396099,28
41BB-ALPPL2,242,1,0,28
41BB-ALPPL2,242,2,0,28
41BB-ALPPL2,242,3,0,28
41BB-ALPPL2,242,4,,28
41BB-CD19,243,1,0,28
41BB-CD19,243,2,0,28
41BB-CD19,243,3,0,28
41BB-CD19,243,4,0,28
41BB-CD19,243,5,0,28
CD28-KO,244,1,0,28
CD28-KO,244,2,0,28
CD28-KO,244,3,0,28
CD28-KO,244,4,0,28
CD28-KO,244,5,0,28
CD28-Lenti,245,1,0,28
CD28-Lenti,245,2,0,28
CD28-Lenti,245,3,0,28
CD28-Lenti,245,4,0,28
CD28-Lenti,245,5,0,28
NT,240,1,365.6862,48
NT,240,2,285.914167,48
NT,240,3,273.494284,48
NT,240,4,322.552872,48
Unt,241,1,237.2004565,48
Unt,241,2,142.630206,48
Unt,241,3,148.36608,48
Unt,241,4,146.661589,48
41BB-ALPPL2,242,1,0,48
41BB-ALPPL2,242,2,0,48
41BB-ALPPL2,242,3,0,48
41BB-ALPPL2,242,4,,48
41BB-CD19,243,1,0,48
41BB-CD19,243,2,,48
41BB-CD19,243,3,0,48
41BB-CD19,243,4,0,48
41BB-CD19,243,5,0,48
CD28-KO,244,1,0,48
CD28-KO,244,2,0,48
CD28-KO,244,3,0,48
CD28-KO,244,4,0,48
CD28-KO,244,5,0,48
CD28-Lenti,245,1,0,48
CD28-Lenti,245,2,0,48
CD28-Lenti,245,3,0,48
CD28-Lenti,245,4,0,48
CD28-Lenti,245,5,0,48
NT,240,1,0,0
NT,240,2,0,0
NT,240,3,0,0
NT,240,4,0,0
Unt,241,1,0,0
Unt,241,2,0,0
Unt,241,3,0,0
Unt,241,4,0,0
41BB-ALPPL2,242,1,0,0
41BB-ALPPL2,242,2,0,0
41BB-ALPPL2,242,3,0,0
41BB-ALPPL2,242,4,0,0
41BB-CD19,243,1,0,0
41BB-CD19,243,2,0,0
41BB-CD19,243,3,0,0
41BB-CD19,243,4,0,0
41BB-CD19,243,5,0,0
CD28-KO,244,1,0,0
CD28-KO,244,2,0,0
CD28-KO,244,3,0,0
CD28-KO,244,4,0,0
CD28-KO,244,5,0,0
CD28-Lenti,245,1,0,0
CD28-Lenti,245,2,0,0
CD28-Lenti,245,3,0,0
CD28-Lenti,245,4,0,0
CD28-Lenti,245,5,0,0
